enum	string
LOC_G_CREATETASKFAIL	创建任务失败, 返回你的系统佣金和酬金%d两
LOC_G_TASKBETAKED	%s领取了您创建的追杀%s的任务
LOC_G_TONG_PASS_TEST	恭喜%s已经通过考验期！
LOC_G_TONG_INFO_TO_PASS_TEST	%s进入考验期，请尽快扩大规模！
LOC_G_TONG_NOT_PASS_TEST	%s未通过考验期，被解散！
LOC_G_TONG_MARSHAL	帮主
LOC_G_TONG_QUEEN	副帮主
LOC_G_TONG_GENERAL	长老
LOC_G_TONG_CAPTAIN	堂主
LOC_G_TONG_SERGEANT	香主
LOC_G_TONG_SOLDIER	帮众
LOC_G_TONG_CHANGE_CAMP	帮主改变了本帮的阵营！
LOC_G_TONG_STORE_MONEY	%s向帮会基金贡献金钱%d！
LOC_G_TONG_GET_MONEY	%s从帮会基金取走金钱%d！
LOC_G_TONG_UP_LEVEL	本帮等级升至 %d 级！
LOC_G_TONG_DOWN_LEVEL	本帮等级降至 %d 级！
LOC_G_TONG_CHANGE_LEVEL	本帮等级变为 %d 级！
LOC_G_TONG_CREATE_UNION	本帮帮主建立了一个帮会联盟 %s！
LOC_G_TONG_DISPATCH_MONEY	帮主给所有帮众发钱了！
LOC_G_TONG_DISPATCH_MONEY_OL	帮主给在线帮众发钱了！
LOC_G_TONG_DISPATCH_MONEY_VALUE	长老每人%d，堂主每人%d，香主每人%d，帮众每人%d！
LOC_G_TONG_AUTHORIZE_JOIN	%s 批准 %s 加入本帮！
LOC_G_TONG_APPOINT	%s被任命为%s！
LOC_G_TONG_NEW_PERSON_JOIN	帮会公告:侠客“%s”加入了我们的帮会！
LOC_G_TONG_APPOINT_MARSHAL	%s被任命为帮主！
LOC_G_TONG_APPOINT_GENERAL	%s被任命为长老！
LOC_G_TONG_APPOINT_CAPTAIN	%s被任命为堂主！
LOC_G_TONG_APPOINT_SERGEANT	%s被任命为香主！
LOC_G_TONG_APPOINT_SOLDIER	%s被任命为普通帮众！
LOC_G_TONG_KICK_MEMBER	%s 把 %s 踢出帮会！
LOC_G_TONG_LEAVE	%s叛离本帮！
LOC_G_TONG_CHANGE_MASTER	%s把帮主之位传给了%s！
LOC_G_TONG_LEAVE_MSG	%s 离开本帮，绝尘而去！
LOC_G_TONG_JOIN_SELFUNION	帮会 %s 加入本帮所在联盟 %s ！
LOC_G_TONG_JOIN_UNION	本帮加入帮会联盟 %s ！
LOC_G_TONG_DISMISS_UNION	盟主解散了帮会联盟！
LOC_G_TONG_KICK_UNION	盟主把本帮踢出联盟！
LOC_G_TONG_LEAVE_UNION	本帮离开帮会联盟！
LOC_G_TONG_KICK_UNION_ELSE	盟主把帮会 %s 踢出联盟！
LOC_G_TONG_LEAVE_UNION_ELSE	帮会 %s 离开本帮所在联盟！
LOC_G_RR_ROLE_DEL	角色 %s 被删除了。
LOC_G_CITYWAR_NOTIFY_SIGNUP	%s 城区擂台赛已经开始报名，欢迎所有等级达到 %d 的帮会前来报名参赛！！
LOC_G_CITYWAR_NOTIFY_SIGNUP_OK	您的帮会已经成功参赛，请等候擂台开赛！！
LOC_G_CITYWAR_NOTIFY_SIGNUP_TOALL	%s 帮会已经报名参加 %s 城区的擂台争霸赛！！
LOC_G_CITYWAR_NOTIFY_SIGNUP_LOG	%s 帮会已经报名参加 %s 城区的擂台争霸赛，竞标金额为 %u ！！
LOC_G_CITYWAR_NOTIFY_NO_SIGNUP	%s 城区的擂台争霸赛无人报名，本周太守万事无忧。
LOC_G_CITYWAR_NOTIFY_SINGLE_SIGNUP	%s 城区的擂台争霸赛只有 %s 一个帮会报名，直接获取挑战资格！！
LOC_G_CITYWAR_NOTIFY_SIGNUP_COMPLETE	%s 城区的擂台赛报名完毕，共有 %d 个帮会参战，赛程也已确定，届时请各帮会及时参战。
LOC_G_CITYWAR_NOTIFY_ARENA_START	%s 城区的擂台赛已经开始，请第一轮参赛各方即刻入场，逾时不候！！
LOC_G_CITYWAR_NOTIFY_ARENA_RESULT	帮会 %s 在擂台争霸赛中击败了帮会 %s，成功进入下一轮角逐！！
LOC_G_CITYWAR_NOTIFY_ARENA_RESULT2	帮会 %s 在擂台赛决赛中击败了帮会 %s，成为 %s 城区的挑战者！！
LOC_G_CITYWAR_NOTIFY_WAR_STARTED	%s 城区大战已经正式开始，帮会 %s 和 %s 马上开始了激烈搏斗！！
LOC_G_CITYWAR_NOTIFY_WAR_RESULT	%s 城区大战胜负已决，帮会 %s 成为新的城主！！太守：%s
LOC_G_CITYWAR_NOTIFY_WAR_RESULT2	%s 城区大战胜负已决，帮会 %s 成功保持了统治权！！太守：%s
LOC_G_CITYWAR_NOTIFY_WAR_RESULT3	%s 城区目前并无太守，帮会 %s 成为公认的第一届统治者！！
LOC_G_CITYWAR_NOTIFY_TAX_SET	您成功地设置了 %s 城区本周的税率和物价。
LOC_G_CITYWAR_NOTIFY_SIGNUP_OUT	因为投标金不够，您的帮会报名 %s 城区失败！！
LOC_G_CITYWAR_NOTIFY_SIGNUP_OUT2	投标金 %d 两已经返还帮会基金，请查收。
LOC_G_CITYWAR_NOTIFY_CHANGE_CITYMASTER	帮会 %s 帮主传位，%s 城区新太守为：%s
LOC_G_CITYWAR_WARNING_ARENACANCELED	打雷咯，下雨啦，擂台比赛取消了！！
LOC_G_CITYWAR_WARNING_WARRESET	%s 城区新一轮擂台赛开始报名,所有上一轮活动即刻终止！！
LOC_G_CITYWAR_WARNING_SIGNUPTIMEOUT	对不起，报名阶段已经结束。
LOC_G_CITYWAR_WARNING_ALREADYSIGNUP	您的帮会已经报过名了！
LOC_G_CITYWAR_WARNING_SIGNUPFULL	本次擂台赛名额已满，请您下次再来。
LOC_G_CITYWAR_WARNING_NOTENOUGHFEE	对不起，您的帮会基金不够交纳报名费 %d 两。
LOC_G_CITYWAR_WARNING_LEVELLOW	对不起，您的帮会等级不够 %d 级。
LOC_G_CITYWAR_WARNING_NOTTONGLEADER	你不是帮会帮主！！
LOC_G_CITYWAR_WARNING_TONGERROR	无效帮会！！
LOC_G_CITYWAR_WARNING_TAXALREADYSET	你已经设置过本周的税率了！！
LOC_G_CITYWAR_WARNING_BECHALLENGER	你已经获得 %s 城区的挑战权了！！
LOC_G_CITYWAR_WARNING_BECITYOWNER	您的帮会已经是 %s 城区的统治者了！！
LOC_G_CITYWAR_WARNING_TOOFEWCROWS	对不起，您的帮会人数不够 %d 人，仍不够资格。
LOC_G_CITYWAR_WARNING_TESTINGPERIOD	对不起，您的帮会正处于考验期，不允许参赛。
LOC_G_CITYWAR_WARNING_SAMECAMP	您的帮会和 %s 城区统治者 %s 同属一个阵营！！
LOC_G_CITYWAR_WARNING_NOTUNIONLEADER	您的帮会和其他帮会结成了联盟，但是只有盟主才能攻城！！
LOC_G_CITYWAR_WARNING_PERIODNOTMATCH	前阶段不符，应该是 %d，却是 %d。
LOC_L_AUCTION_WINNNER_QUIT	城市ID=不知道 出价最高者退出游戏 拍卖ID=%d  退出者=%s
LOC_L_ADD_AUCTION_ITEM	城市ID=%d 提交物品 拍卖ID=%d 底价=%d 入扎单位=%d 提交人=%s
LOC_L_ADD_AUCTION_ITEM_SUCC	城市ID=%d 拍卖成功 拍卖ID=%d 成交价格=%d
LOC_L_ADD_AUCTION_ITEM_FAIL	城市ID=%d 拍卖失败 拍卖ID=%d
LOC_L_ADD_AUCTION_ITEM_ING	城市ID=%d 开始拍卖 拍卖ID=%d
LOC_L_ADD_TO_AUCTION	城市ID=%d 加入拍卖 拍卖ID=%d 竞买者=%s
LOC_L_AUCTION_ADD_PRICE	城市ID=%d 出价 拍卖ID=%d 竞买者=%s 上一次价格=%d 加价倍数=%d
LOC_L_CW_SIGNUP	参与竞标帮会: 
LOC_L_CW_KICKOUT_TONG	被淘汰竞标帮会: 
LOC_L_START_ARENA_ERROR	擂台赛前提条件(目标城市赛程／上一场擂台赛结束)错误...
LOC_L_ARENA_RESULT_RECORD_ERROR	Arena result record error...
LOC_L_ARENA_END	帮会擂台赛结束了。
LOC_L_START_CITY_WAR_ERROR	StartCityWar error....
LOC_L_END_CITY_WAR_ERROR	End City War error....
LOC_L_ILLEGAL_TAX_RATE	illegal tax rates....\n
LOC_L_SET_TAX_NOT_PERMITTED	set tax not permitted !!!
LOC_L_KILLER_CREATE_TASK	创建任务 任务ID=%d 创建者=%s  被追杀人=%s 系统租金=%d 总时间=%d 赏金=%d
LOC_L_KILLER_ACTIVE_FAILURE	状态转换 任务ID=%d   总时间=%d 剩余时间=%d ACTIVE-> FAILURE
LOC_L_KILLER_ACTIVE_CLOSE	状态转换  任务ID=%d 总时间=%d 剩余时间=%d ACTIVE-> CLOSE
LOC_L_KILLER_CLOSE_FAILURE	状态转换 任务ID=%d 总时间=%d 剩余时间=%d CLOSE-> FAILURE
LOC_L_KILLER_SUCCESS_DELETESIGN	状态转换 SUCCESS/FAILURE-> DELETESIGN 任务ID=%d 总时间=%d 剩余时间=%d
LOC_L_KILLER_CANCEL_TASK	取消任务 任务ID=%d 创建者=%s 被杀者=%s 总时间=%d 剩余时间=%d 赏金=%d 取消者=%s 任务状态 = %d
LOC_L_KILLER_GET_TASK	领取任务 任务ID=%d, 领取人= %s, 
LOC_L_KILLER_GET_MONEY	领取钱 任务ID=%d 领钱类型=%d  领钱金额(税前)=%d
LOC_L_TONG_MSG	帮会[%s]:%s
LOC_L_TONG_DISPATCH_MONEY	帮会[%s]给所有人发钱：长老%d个；堂主%d个；香主%d个；帮众%d个；分别发钱：%d %d %d %d ，总共 %d
LOC_L_TONG_DISPATCH_MONEY_OL	帮会[%s]给在线的发钱：长老%d个；堂主%d个；香主%d个；帮众%d个；分别发钱：%d %d %d %d ，总共 %d
LOC_L_TONG_CREATE_FAIL_NAME_1	帮会创建失败：帮会名问题1
LOC_L_TONG_CREATE_FAIL_NAME_2	帮会创建失败：帮会名 %s 问题2：过长 %s
LOC_L_TONG_CREATE_FAIL_NAME_3	帮会创建失败：帮会名问题3：帮会同名或帮主同名或者同名的帮会联盟 %s %s
LOC_L_TONG_CREATE_FAIL_MEM	帮会创建失败：内存问题 %s %s
LOC_L_TONG_KICK_MEMBER	帮会踢人：%s踢%s！
LOC_L_TONG_KICK_MEMBER_CWS	帮会踢人：攻城战状态：%d
LOC_L_TONG_KICK_NOT_ALLOW_IN_CW	帮会踢人：擂台赛期间或攻城战期间不能踢人！
LOC_L_TONG_TOLOAD_TONG_COUNT	要载入的帮会数量：%d
LOC_L_TONG_UNFOUND_UNION_HEADER	联盟成员离开出错：找不到盟主！！！
LOC_L_TONG_LONG_0	帮会战导致帮会经验变化；胜利帮会：%s ，失败帮会：%s ！
LOC_L_TONG_LONG_1	胜利帮会原等级 %d ，胜利帮会原经验 %d；
LOC_L_TONG_LONG_2	失败帮会原等级 %d ，失败帮会原经验 %d；
LOC_L_TONG_LONG_3	胜利帮会现等级 %d ，胜利帮会现经验 %d；
LOC_L_TONG_LONG_4	失败帮会现等级 %d ，失败帮会现经验 %d；
LOC_L_TONG_LONG_5	[GM操作]任命[%s]为帮会[%s]帮主！
LOC_L_TONG_LONG_6	[GM操作]任命[%s]为帮会[%s]帮主成功！
LOC_L_TONG_LONG_7	[GM操作]设定帮会等级为 %s ！
LOC_L_TONG_LONG_8	[GM操作]设定帮会经验为 %s ！
LOC_L_TONG_LONG_9	[GM操作]设定帮会等级为 %s ！操作成功
LOC_L_TONG_LONG_10	[GM操作]设定帮会经验为 %s ！操作成功
LOC_L_TONG_LONG_11	[GM操作]设定帮会[%s]中成员[%s]入帮时间为：%d年%d月%d日！
LOC_L_TONG_LONG_12	[GM操作]设定帮会[%s]中成员[%s]入帮时间为：%d年%d月%d日！操作成功
LOC_L_TONG_LONG_13	[GM操作]强制解散帮会[%s]！
LOC_L_TONG_LONG_14	[GM操作]强制解散帮会[%s]！操作成功
LOC_L_RR_SAVE_FAIL	保存玩家好友信息出错！
LOC_L_RR_SAVE_FAIL_2	保存玩家好友信息出错：%s
LOC_L_SCRIPT_0	包含(Include)的脚本文件%s时出错。
LOC_L_SCRIPT_1	脚本指令TaskSetMode传入的参数数量不对！
LOC_L_SCRIPT_2	脚本指令TaskSetStartDay传入的参数数量不对！
LOC_L_TASKCENTRE_0	下次运行时间：%d!
LOC_L_TASKCENTRE_1	下次运行时间：%d月%d日!
LOC_L_TASKCENTRE_2	载入定时任务设定文件失败：%s!!!!!!!!
LOC_L_TASKCENTRE_3	载入定时任务设定文件失败，严重问题!!!!!!!!
LOC_L_TASKCENTRE_4	载入定时任务设定文件：%s
LOC_L_TASKCENTRE_5	定时任务数量：%d
LOC_L_TASKCENTRE_6	定时任务%d：%s ，次数：%d
LOC_L_TASKCENTRE_7	清除定时任务：%s，任务设定次数：%d  已执行次数：%d
LOC_L_TASKCENTRE_8	通过脚本指令直接添加定时任务：%s
LOC_L_TASKCENTRE_9	定时任务初始化参数设定成功：%s
LOC_L_TASKCENTRE_10	加载脚本文件%s时出错，请检查语法.
LOC_L_TASKCENTRE_11	定时任务脚本文件加载失败：%s，严重问题！！！
LOC_L_TASKCENTRE_12	卸载所有任务！
LOC_L_TASKCENTRE_13	得到脚本指令发来的消息，卸载一个任务：%s
LOC_L_TASKCENTRE_14	设定定时任务名称：%s
LOC_L_TASKCENTRE_15	设定定时任务运行时间：%d时%d分!
LOC_L_TASKCENTRE_16	目前时间是：%d时%d分!
LOC_L_TASKCENTRE_17	今天不会运行：时间过了！
LOC_L_TASKCENTRE_18	下次运行时间：%d:%d! %d
LOC_L_TASKCENTRE_19	下次运行时间：%d月%d日!
LOC_L_TASKCENTRE_20	设定定时任务运行时间错误：%d时%d分%d秒!!!!!!!
LOC_L_TASKCENTRE_21	设定定时任务普通模式多次运行间的间隔时间：%d秒一次!
LOC_L_TASKCENTRE_22	设定定时任务 日 模式多次运行间的间隔时间：%d天一次!
LOC_L_TASKCENTRE_23	设定定时任务 月 模式多次运行间的间隔时间：%d月一次!
LOC_L_TASKCENTRE_24	设定定时任务执行次数：%d !
LOC_L_TASKCENTRE_25	设定定时任务模式：%d ，模式0：普通模式，每天几次；模式1：每几天一次；模式2：每几月一次；
LOC_L_TASKCENTRE_26	设定定时任务开始日期错误：月份参数错误 %d 月
LOC_L_TASKCENTRE_27	设定定时任务开始日期错误：日期参数错误 %d 日
LOC_L_TASKCENTRE_28	设定定时任务开始日期：%d 月 %d 日
LOC_L_TASKCENTRE_29	执行定时任务：%s
LOC_L_TASKCENTRE_30	执行任务脚本出错!%s
LOC_L_TASKCENTRE_31	执行定时任务脚本出错：%s！！！！！！！
LOC_L_TONGCONNECT_0	帮主传位：传给%s，攻城战状态：%d！
LOC_L_TONGCONNECT_1	帮主传位：攻城战传位操作锁定！
LOC_L_TONGCONNECT_2	帮主传位：%s接受传位！攻城战状态：%d！
LOC_L_TONGCONNECT_4	%s和您解除了好友关系。
LOC_L_TONGCONNECT_5	%s和您解除了夫妻关系。
LOC_L_TONGCONNECT_6	%s和您解除了亲人关系。
LOC_L_S3RELAY_INIT_ALREADY	警告: S3Relay已经启动！
LOC_L_S3RELAY_INIT_START	S3Relay-开始启动！
LOC_L_S3RELAY_INIT_FINISHED	S3Relay-启动完毕！
LOC_L_S3RELAY_INIT_FAIL	FAIL: S3Relay启动失败！
LOC_L_S3RELAY_LOGIN_FAIL	FAIL: ***帐号密码错误!***
LOC_L_S3RELAY_UNINIT_START	S3Relay-开始关闭！
LOC_L_S3RELAY_UNINIT_FINISHED	S3Relay-关闭完成！
LOC_L_S3RELAY_UNINIT_RUNTIMER_FAIL	FAIL: 记录运行时间失败！
LOC_L_S3RELAY_UNINIT_SHAREDB_FAIL	FAIL: 共享数据库关闭出错！
LOC_L_S3RELAY_UNINIT_OFFLINEMSGDB_FAIL	FAIL: 关闭离线留言数据库出错！
LOC_L_S3RELAY_DISCONN_RELAY_ROOT	S3Relay: 与RelayRoot的链接断开了 - 
LOC_L_S3RELAY_TO_RECONNECT_RELAYROOT	S3Relay: 正在重连RelayRoot
LOC_L_S3RELAY_DISCONN_GS_CHAT	S3Relay: 与GameSvr的聊天连接断开了 - 
LOC_L_S3RELAY_NOTIFY_TO_STOP	Relay的服务将被停止！\n请确认网关与RelayRoot都已开启，\n并检查登陆时的密码帐号是否正确。
LOC_L_S3RELAY_INIT_SCRIPT_FIAIL	FAIL: 启动脚本模块出错！
LOC_L_S3RELAY_INIT_NC_CHECK_FAIL	FAIL: 未能通过网卡检查！
LOC_L_S3RELAY_INIT_HEAVEN_FAIL	FAIL: 启动Heaven模块出错！
LOC_L_S3RELAY_INIT_RAINBOW_FAIL	FAIL: 启动Rainbow模块出错！
LOC_L_S3RELAY_INIT_CHNLMGR_FAIL	FAIL: 启动聊天频道模块出错！
LOC_L_S3RELAY_INIT_FRIENDMGR_FAIL	FAIL: 启动好友模块出错！
LOC_L_S3RELAY_INIT_RELAYCENTRE_FAIL	FAIL: 启动RelayCentre出错！
LOC_L_S3RELAY_INIT_ROOTCENTRE_FAIL	FAIL: 启动RootCentre出错！
LOC_L_S3RELAY_INIT_ROOTCLIENT_FAIL	FAIL: 与RootRelay建立连接出错 - 
LOC_L_S3RELAY_INIT_GATEWAYCENTRE_FAIL	FAIL: 启动网关连接管理模块出错！
LOC_L_S3RELAY_INIT_GATEWAY_FAIL	FAIL: 与网关建立连接出错 - 
LOC_L_S3RELAY_INIT_HOSTCENTRE_FAIL	FAIL: 启动游戏世界服务器连接管理模块出错！
LOC_L_S3RELAY_INIT_SHAREDB_FAIL	FAIL: 打开共享数据库出错！
LOC_L_S3RELAY_INIT_OFFLINEMSGDB_FAIL	FAIL: 打开离线留言数据库出错！
LOC_L_RELAYSRV_START_FAIL	FAIL: relay服务-启动失败！
LOC_L_HOSTSRV_START_FAIL	FAIL: 游戏服务器连接服务-启动失败！
LOC_L_CHATSRV_START_FAIL	FAIL: 聊天服务-启动失败！
LOC_L_TONGSRV_START_FAIL	FAIL: 帮派服务-启动失败！
LOC_L_TONGSET_INIT_OK	帮派模块-初始化成功
LOC_L_TONGSET_INIT_FAILED	FAIL: 帮派模块-初始化失败！
LOC_L_TONGSVR_NEW_CONNECT	帮派服务-与ip:%s建立连接。
LOC_L_TONGSVR_CLOSE_CONNECT	帮派服务-关闭与ip:%s的连接。
LOC_L_TONG_CREATE_ONE	帮派-[%s]创建[%s]成功。
LOC_L_TONG_CREATE_ONE_FAIL	FAIL: 帮派-[%s]创建[%s]失败。
LOC_L_TONGDB_STORE_BRIEF_BEGIN	帮派数据库-保存帮派信息开始
LOC_L_TONGDB_STORE_BRIEF_SUCCESS	帮派数据库-保存帮派信息成功
LOC_L_TONGDB_STORE_BRIEF_FAILED	帮派数据库-保存帮派[%s]信息失败！
LOC_L_TONGDB_STORE_MEMBER_BEGIN	帮派数据库-保存成员信息开始
LOC_L_TONGDB_STORE_MEMBER_SUCCESS	帮派数据库-保存成员信息成功
LOC_L_TONGDB_STORE_MEMBER_FAILED	帮派数据库-保存成员[%s]信息失败！
LOC_L_TONGDB_OPEN_FAILED	FAIL: 帮派数据库打开失败！
LOC_L_TONGDB_FLUSH_SUCCESS	帮派数据库-刷新成功。
LOC_L_TONGDB_FLUSH_FAILED	帮派数据库-刷新失败！
LOC_L_TONGDB_BACKUP_BEING	帮派数据库-开始备份过程...
LOC_L_TONGDB_BACKUP_FAILED	帮派数据库-备份-出错！
LOC_L_TONGDB_BACKUP_SUCCESS	帮派数据库-备份-成功。
LOC_L_TONGDB_BACKUP_OPEN_ORIG_FAIL	帮派数据库-备份-打开原有库失败！
LOC_L_TONGDB_BACKUP_OPEN_BK_FAIL	帮派数据库-备份-创建备份库失败！
LOC_L_TONGDB_BACKUP_ACCE_TONG_FAIL	帮派数据库-备份-意图访问原帮会信息失败！
LOC_L_TONGDB_BACKUP_COPY_TONG_FAIL	帮派数据库-备份-复制帮会[%s]数据出错！
LOC_L_TONGDB_BACKUP_ERR_TONG	帮派数据库-备份-遇见错误帮会[%s]！
LOC_L_TONGDB_BACKUP_ACCE_MEMB_FAIL	帮派数据库-备份-意图访问原成员库失败！
LOC_L_TONGDB_BACKUP_COPY_MEMB_FAIL	帮派数据库-备份-复制帮会成员[%s]出错！
LOC_L_TONGDB_BACKUP_ERR_MEMB	帮派数据库-备份-遇见错误帮会成员[%s]！
LOC_L_PR_ERROR_RELATION_RECORD	玩家关系-[%s]纪录加载时发现错误的数据。
LOC_L_PR_NOT_ON_LINE_WHEN_ADD_RELA	玩家关系-[%s]与[%s]建立[%s]关系时前者不在线。
LOC_L_PR_MATE_NOT_MATCH	玩家关系-[%s]与[%s]的配偶关系不匹配。
LOC_L_HOSTCONNECT_RECV_UNKNOW_PKG	警告:host连接收到不明的数据包(%d)。
LOC_L_BACKUP_FINISHED	备份全部成功执行完毕。
LOC_L_BACKUP_FINISHED_FAILED	备份全部执行完毕，期间有错误发生！
LOC_L_NEWTONG_INIT_FAILED	新帮会系统初始化失败！请检查设定文件！
LOC_L_GM_SYSTEM_RELOAD_SELECT_SCRIPTS	重新加载服务器上指定列表的脚本文件。
LOC_L_GM_SYSTEM_RELOAD_OPENLIMIT_FILE	重新加载服务器上功能开放的配置文件。
LOC_L_GM_SYSTEM_RELOAD_VERSION_FILE	重新加载服务器上版本的配置文件。
LOC_L_ACC_ROLE_FAC_LEV_MON	账号名\t角色名\t门派\t等级\t金钱\t小银票数\t大银票数\t小银票异常\t大银票异常
LOC_L_RECORDING_PLAYER_10M_MON	正在记录金钱超过1000万的玩家
LOC_L_CRC_ERROR	**CRC错误** 
LOC_L_ROLE_DATA_ERROR	**角色数据错误** 
LOC_L_OUTPUT_END	==输出结束==
LOC_L_DATA_STAT	==数据统计==
LOC_L_TOTAL_ROLE_COUNT	总人数：
LOC_L_ROLE_COUNT	人数：
LOC_L_TOTAL_MONEY_COUNT	总金钱数：
LOC_L_TOTAL_LITTLE_YINPIAO_COUNT	总小银票数：
LOC_L_TOTAL_BIG_YINPIAO_COUNT	总大银票数：
LOC_L_MONEY_COUNT	金钱数：
LOC_L_ROLE_DISTRIB_BY_LEV	角色级别分布：
LOC_L_ROLE_COUNT_BY_LEV	级人数：
LOC_L_ROLE_COUNT_BY_ABNORM_LEV	级别异常人数：
LOC_L_CHECK_ROLE_LIST	，请查看人物列表文件中有没有“角色数据错误”的人物。
LOC_L_ROLE_SORT_STAT	==角色排名统计==:
LOC_L_ACC	帐号
LOC_L_NAME	名字
LOC_L_FACTION1	门派
LOC_L_LEVEL	等级
LOC_L_MONEY	身上钱
LOC_L_YINPAO_S	小票
LOC_L_YINPAO_L	大票
LOC_L_YINPAO_S1	小票异
LOC_L_YINPAO_L1	大票异
LOC_L_EXP	经验
LOC_L_NOT_IN_FAC	在野
LOC_L_FACTION	--------------门派 
